STATE/UT,YEAR,POPULATION,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,Crimes Against Women,TOTAL IPC CRIMES,LITERACY RATE_ITER,AREA (in sq. km)_ITER,CRIMES AGAINST CHILDREN_ITER,JUVENILES APPREHENDED_ITER,POLICEMEN KILLED_ITER,THEFT CASES REPOERTED_ITER,THEFT VALUE TOTAL_ITER,TOTAL  Dacoity_ITER,TOTAL  Robbery_ITER,TOTAL  Burglary_ITER,TOTAL  Theft_ITER,Total Petty Crime_ITER,Human Rights Violation Cases_ITER,Policemen Chargesheeted_ITER,Polimen Charged_ITER
ANDHRA PRADESH,2005,82335801,2750,1724,111,935,1,934,1612,995,617,250,4,794,7954,23778,5465,18313,2026,948,7909,257,967,42179,443,3595,2508,8696,3,9973,37707,3117,515,17175,157123,67.39,275045.0,1387.2979487547505,1419.0,48.0,32776.0,751545976.0,250.0,794.0,7954.0,23778.0,32776.0,0.0,0.0,0.0
ARUNACHAL PRADESH,2005,1184653,81,37,5,35,0,35,58,39,19,23,0,77,263,531,119,412,23,36,28,4,13,383,0,67,0,9,0,69,562,2,54,150,2304,64.75,83743.0,11.532949779555167,147.0,0.0,894.0,46073501.0,23.0,77.0,263.0,531.0,894.0,0.0,0.0,0.0
ASSAM,2005,28053772,1194,503,117,1238,0,1238,1751,1456,295,334,22,451,2255,6369,955,5414,2760,487,873,103,423,5906,99,899,19,2206,3,2695,11299,282,216,5920,42006,76.58,78438.0,113.32770265402314,373.0,9.0,9409.0,178998996.0,334.0,451.0,2255.0,6369.0,9409.0,1.0,0.0,0.0
BIHAR,2005,87790018,3471,3307,259,1147,0,1147,2693,929,1764,1212,165,2374,3117,10812,2134,8678,7671,1181,1829,50,760,11939,1014,451,13,1574,74,2680,40057,1824,82,5202,97850,57.66,94163.0,84.57598701185543,310.0,33.0,17515.0,273082345.0,1212.0,2374.0,3117.0,10812.0,17515.0,3.1705182762848256,5.406834731592894,0.374474498160148
CHHATTISGARH,2005,22010465,1013,660,41,990,0,990,246,184,62,204,25,401,3621,5600,1619,3981,893,110,431,73,214,3734,100,1450,132,732,0,2004,20959,454,497,3588,43633,71.68,135191.0,480.59282834618443,1686.0,14.0,9826.0,268191880.0,204.0,401.0,3621.0,5600.0,9826.0,0.0,0.0,0.0
GOA,2005,1443911,45,15,5,20,0,20,17,12,5,2,0,28,265,495,185,310,45,50,58,6,12,155,2,30,8,11,0,209,641,2,1,83,2119,83.15,3702.0,-37.88852149977342,61.0,0.0,-11476.690647482013,-147349187.30102438,2.0,28.0,265.0,495.0,790.0,2.8535748794569287,-0.46337609187555007,0.37426211667713805
GUJARAT,2005,53193892,1033,452,27,324,0,324,1164,916,248,282,15,966,5332,17964,7083,10881,1628,1370,1541,447,320,10503,48,802,104,4090,0,4120,60882,1307,237,6284,113414,76.44,196024.0,1189.7336253530661,1828.0,48.0,24544.0,835241359.0,282.0,966.0,5332.0,17964.0,24544.0,11.0,10.0,0.0
HARYANA,2005,22817519,784,513,57,461,0,461,492,344,148,88,138,390,3437,8694,5034,3660,899,562,1204,31,119,4569,212,380,597,2075,0,1083,15879,288,0,4069,42664,71.49,44212.0,640.7842415016819,1206.0,54.0,12609.0,463902424.0,88.0,390.0,3437.0,8694.0,12609.0,0.0,0.0,0.0
HIMACHAL PRADESH,2005,6485246,110,79,22,141,0,141,118,102,16,6,0,22,696,696,166,530,558,82,163,6,97,1359,2,286,29,228,0,480,7165,55,10,788,12345,78.74,55673.0,26.811570528711286,183.0,1.0,1420.0,68147727.0,6.0,22.0,696.0,696.0,1420.0,0.0,0.0,0.0
JAMMU & KASHMIR,2005,10662279,647,905,37,201,0,201,748,658,90,13,0,116,1397,1901,504,1397,1222,117,403,29,240,355,5,830,371,76,0,462,10040,1,0,2141,20115,61.45,222236.0,76.23686966792837,6.0,47.0,3427.0,103828111.0,13.0,116.0,1397.0,1901.0,3427.0,0.0,0.0,0.0
JHARKHAND,2005,28568908,1523,1084,87,753,5,748,621,283,338,592,49,732,1610,6195,1181,5014,2524,243,643,19,202,3078,257,293,36,590,4,1490,12550,277,483,2216,35175,62.76,74677.0,-40.94985724079311,883.0,12.0,10539.309352517987,418360674.7562052,592.0,732.0,1610.0,6195.0,9129.0,1.0,0.0,0.0
KARNATAKA,2005,56641538,1609,1406,80,343,0,343,589,312,277,208,119,1202,5986,17008,5920,11088,6151,434,2909,133,238,20883,261,1585,71,1883,0,243,54239,1780,161,4455,117580,72.02,191791.0,1079.7655337208562,236.0,17.0,24404.0,817172602.0,208.0,1202.0,5986.0,17008.0,24404.0,1.0,2.0,0.0
KERALA,2005,32796224,388,341,88,478,0,478,226,129,97,110,158,621,4110,5454,1969,3485,6535,361,3261,79,456,18302,21,2339,175,3283,0,34,57530,345,82,6425,104350,91.66,38852.0,442.665091459256,380.0,9.0,10295.0,515566635.0,110.0,621.0,4110.0,5454.0,10295.0,3.0,0.0,0.0
MADHYA PRADESH,2005,64383393,2405,2512,134,2921,0,2921,847,604,243,147,130,1557,11192,20685,6390,14295,2573,613,1292,51,817,33803,739,6426,792,2989,3,4593,91951,4356,1615,14474,189172,66.66,308245.0,2604.6085089834514,5673.0,43.0,33581.0,619740811.0,147.0,1557.0,11192.0,20685.0,33581.0,0.0,0.0,0.0
MAHARASHTRA,2005,102996199,2621,1614,98,1545,0,1545,1194,851,343,641,307,2411,15615,46851,12189,34662,6779,1720,6391,385,1123,30017,341,3228,919,6233,0,9608,47386,865,224,13117,187027,80.08,307713.0,3392.7052597936195,5696.0,105.0,65518.0,2936344274.0,641.0,2411.0,15615.0,46851.0,65518.0,0.0,0.0,0.0
MANIPUR,2005,2495663,256,252,4,25,0,25,106,69,37,4,0,8,62,243,92,151,35,52,122,10,155,295,0,25,0,20,0,5,1234,0,0,139,2913,76.47,22327.0,-37.977854458136754,0.0,2.0,317.0,16736542.0,4.0,8.0,62.0,243.0,317.0,3.0,0.0,0.0
MEGHALAYA,2005,2468003,134,35,2,63,0,63,48,19,29,81,1,95,148,476,116,360,42,18,39,3,70,135,1,44,0,3,0,61,381,0,0,130,1880,67.32,22429.0,-66.3913694863363,95.0,2.0,800.0,33918479.0,81.0,95.0,148.0,476.0,800.0,0.0,0.0,0.0
MIZORAM,2005,926901,24,24,5,37,0,37,13,0,13,3,0,6,442,777,0,777,35,11,58,5,20,77,4,49,4,0,0,4,558,0,0,94,2156,88.49,21081.0,53.200671321434456,323.0,0.0,1228.0,17718795.0,3.0,6.0,442.0,777.0,1228.0,0.0,0.0,0.0
NAGALAND,2005,2119579,87,26,8,17,0,17,26,9,17,12,0,80,93,294,97,197,8,17,41,5,4,35,0,7,0,0,0,37,252,0,0,33,1049,68.65,16579.0,0.0,3.0,1.0,479.0,9429668.0,12.0,80.0,93.0,294.0,479.0,0.0,0.0,0.0
ODISHA,2005,39509013,1079,1279,48,799,0,799,641,547,94,184,50,998,3029,6743,1626,5117,1515,301,1040,31,386,5919,334,2238,184,1671,0,3034,20182,1439,602,5773,51685,70.68,155707.0,86.0,596.0,7.0,10954.0,297906936.0,184.0,998.0,3029.0,6743.0,10954.0,2.0,0.0,0.0
PUNJAB,2005,25762254,713,723,216,398,0,398,478,329,149,27,103,85,1933,2924,1151,1773,1,306,2934,73,55,4267,99,308,43,729,0,2283,8438,140,0,1906,27136,73.51,50362.0,210.0,112.0,94.0,4969.0,325742308.0,27.0,85.0,1933.0,2924.0,4969.0,0.0,0.0,0.0
RAJASTHAN,2005,59751511,1221,1920,59,993,0,993,1993,1549,444,41,79,590,5227,17898,6723,11175,2290,613,8341,88,648,22606,361,2503,28,5997,0,5872,61549,3795,863,11431,140917,62.93,342239.0,580.0,1742.0,32.0,23756.0,718848065.0,41.0,590.0,5227.0,17898.0,23756.0,8.345057729897057,3.983177661420082,-0.3637523889689884
SIKKIM,2005,575625,8,16,2,18,0,18,3,2,1,2,0,4,85,81,5,76,19,4,44,2,3,99,0,38,0,4,0,53,67,7,22,62,552,72.27,7096.0,25.0,23.0,1.0,172.0,4533982.0,2.0,4.0,85.0,81.0,172.0,2.4010780872675506,-0.5287022920740663,-0.03040809563899094
TAMIL NADU,2005,66827019,1440,1759,28,571,1,570,1029,783,246,73,0,437,3738,15851,3583,12268,2551,239,2694,40,495,31725,215,1764,665,1650,0,8902,86494,1206,13,5648,162360,77.78,130060.0,288.0,858.0,45.0,20099.0,385878772.0,73.0,437.0,3738.0,15851.0,20099.0,3.0,2.0,0.0
TRIPURA,2005,3369280,121,56,1,162,0,162,85,43,42,22,0,61,170,325,62,263,148,32,59,16,35,429,34,161,1,439,0,188,811,38,12,840,3356,79.17,10486.0,28.0,0.0,8.0,578.0,14557243.0,22.0,61.0,170.0,325.0,578.0,2.4457590066492605,-0.39629023495920634,0.36144245992622936
UTTAR PRADESH,2005,179586262,5711,5637,1520,1217,0,1217,2955,2256,699,286,89,2049,4556,20695,8647,12048,3926,2524,4556,261,398,10379,1564,1835,2881,4505,0,7406,37158,4397,6,14258,122108,64.96,240928.0,1801.0,105.0,118.0,27586.0,874168257.0,286.0,2049.0,4556.0,20695.0,27586.0,0.0,0.0,0.0
UTTARAKHAND,2005,8848211,279,202,30,133,0,133,203,125,78,48,0,159,521,1630,533,1097,433,144,396,22,24,745,63,100,89,272,0,462,2078,99,1,782,8033,74.26,53566.0,76.0,32.0,17.0,2358.0,69814936.0,48.0,159.0,521.0,1630.0,2358.0,3.265589967548705,0.40147800658189015,0.3644642402082905
WEST BENGAL,2005,84370259,1453,434,408,1686,0,1686,1207,1039,168,211,1221,426,739,12124,2435,9689,2635,528,1760,107,92,4125,446,1572,54,6936,61,2737,25444,12,12,11794,66406,70.96,88752.0,236.0,99.0,23.0,13500.0,311480004.0,211.0,426.0,739.0,12124.0,13500.0,9.0,7.0,0.0
A & N ISLANDS,2005,421779,14,3,3,4,0,4,2,1,1,0,0,4,68,92,6,86,4,8,13,0,6,79,0,11,1,5,0,3,362,0,2,22,682,81.79,8249.0,8.0,1872.1422367221296,0.0,164.0,8895067.0,0.0,4.0,68.0,92.0,164.0,3.0587270822369446,15.890697197784405,7.935898034183129
CHANDIGARH,2005,985880,18,15,4,33,0,33,54,45,9,0,2,12,223,1373,579,794,43,41,161,0,1,57,3,31,9,75,0,9,969,0,0,196,3133,82.85,114.0,57.0,114.0,3.0,1608.0,59967766.0,0.0,12.0,223.0,1373.0,1608.0,0.0,0.0,0.0
D & N HAVELI,2005,234231,7,5,0,5,0,5,13,9,4,3,0,2,25,74,17,57,18,12,10,4,1,33,0,5,0,5,0,17,195,2,2,24,434,67.63,491.0,5.0,19.0,0.0,104.0,12749605.0,3.0,2.0,25.0,74.0,104.0,2.2454867824918834,-0.47383540214027775,-0.22327986318233517
DAMAN & DIU,2005,169805,5,2,0,2,0,2,4,2,2,4,0,0,37,50,27,23,19,6,3,7,1,16,1,1,0,3,0,24,58,2,0,9,243,88.18,112.0,5.0,1.0,0.0,91.0,6939313.0,4.0,0.0,37.0,50.0,91.0,2.2340193164148956,-1.094316507700678,0.44108139204417496
LAKSHADWEEP,2005,65164,1,0,0,0,0,0,0,0,0,0,0,0,2,7,0,7,6,0,0,0,0,4,0,0,0,0,0,0,22,0,0,0,42,87.57,32.0,0.0,1.0,0.0,9.0,261658.0,0.0,0.0,2.0,7.0,9.0,2.2287107843719776,-1.0901821183691105,0.42697457718921283
PUDUCHERRY,2005,1034495,19,24,8,6,0,6,6,3,3,1,0,5,67,466,235,231,159,8,41,0,9,857,4,60,26,6,0,224,2579,14,0,105,4575,82.02,479.0,8.0,40.0,0.0,539.0,11322670.0,1.0,5.0,67.0,466.0,539.0,2.177294687335113,-0.9082377868564242,0.21957631504047948
ANDHRA PRADESH,2006,83899047,2766,1860,123,1049,1,1048,2030,1329,701,178,3,679,8304,23510,5313,18197,2916,1007,8363,324,1012,47946,519,4534,2411,9164,0,11489,43722,3891,793,19006,173909,68.68,275045.0,1386.0,1651.0,49.0,18731.309352517987,1012879134.7531353,178.0,679.0,8304.0,23510.0,32671.0,0.0,0.0,0.0
ARUNACHAL PRADESH,2006,1207224,60,33,3,37,0,37,75,51,24,28,0,74,257,451,74,377,6,61,38,9,20,415,1,63,2,14,0,82,565,0,27,168,2294,67.36,83743.0,27.0,80.0,0.0,19243.309352517987,89649425.7108227,28.0,74.0,257.0,451.0,810.0,0.0,0.0,0.0
ASSAM,2006,28411051,1207,414,32,1244,0,1244,1825,1544,281,319,12,544,2911,7820,1362,6458,2684,461,905,98,488,5290,105,1290,10,2548,0,3022,10444,282,244,6741,43673,79.91,78438.0,252.0,539.0,19.0,2347.3093525179866,290320935.06712544,319.0,544.0,2911.0,7820.0,11594.0,1.0,0.0,0.0
BIHAR,2006,89008384,3249,3303,326,1232,0,1232,2619,1084,1535,1001,140,2169,3531,11752,2023,9729,8259,1054,2171,97,785,12674,1188,530,53,1689,42,2860,39941,2043,56,5818,100665,60.33,94163.0,66.0,228.0,14.0,18731.309352517987,736098636.601081,1001.0,2169.0,3531.0,11752.0,18453.0,3.6504878924424995,4.810891140849659,-0.2881202523032549
CHHATTISGARH,2006,22341673,1098,825,15,995,0,995,239,178,61,160,24,439,3507,5262,1623,3639,905,137,507,33,262,6722,103,1598,143,717,1,2239,19246,444,583,3735,45177,73.43,135191.0,1238.0,1816.0,30.0,10539.309352517987,233285956.53427672,160.0,439.0,3507.0,5262.0,9368.0,0.0,0.0,0.0
GOA,2006,1469303,39,17,1,21,0,21,16,10,6,7,0,17,252,494,223,271,63,35,55,9,38,170,0,18,7,14,0,233,698,4,0,70,2204,83.44,3702.0,54.0,67.0,0.0,-17108.690647482013,-208233148.7296832,7.0,17.0,252.0,494.0,770.0,1.0,1.0,0.0
GUJARAT,2006,53845144,1165,471,24,354,0,354,1128,945,183,290,12,970,5530,18475,7188,11287,1534,1246,1529,196,321,10685,50,736,138,4977,0,4339,66802,995,164,7200,120972,78.26,196024.0,977.0,2125.0,43.0,18731.309352517987,1042452317.897139,290.0,970.0,5530.0,18475.0,25265.0,15.0,13.0,0.0
HARYANA,2006,23252069,873,585,59,608,0,608,635,431,204,104,224,410,4001,10518,6300,4218,1142,750,1424,35,156,5135,255,486,491,2254,0,1350,19014,283,0,4525,50509,72.39,44212.0,462.0,1253.0,54.0,-14036.690647482013,328938647.3623311,104.0,410.0,4001.0,10518.0,15033.0,3.057900422700718,3.050286126902547,1.198294539679294
HIMACHAL PRADESH,2006,6593382,111,78,20,113,0,113,130,109,21,7,0,29,754,812,214,598,566,137,129,4,115,1261,3,275,31,259,0,499,7760,92,17,790,13093,79.3,55673.0,136.0,119.0,1.0,299.30935251798655,-81737744.31466071,7.0,29.0,754.0,812.0,1602.0,0.0,0.0,0.0
JAMMU & KASHMIR,2006,10801836,487,854,40,250,0,250,789,723,66,10,0,112,1351,1937,554,1383,1197,123,463,35,203,376,10,960,347,135,0,222,10886,2,0,2425,20787,62.93,222236.0,85.0,7.0,59.0,47403.30935251799,300672025.85151243,10.0,112.0,1351.0,1937.0,3410.0,3.0,3.0,0.0
JHARKHAND,2006,28984975,1492,1078,97,799,0,799,635,410,225,536,45,779,1428,6173,1146,5027,2650,319,833,34,178,3055,281,414,44,668,5,1154,13667,333,332,2621,36364,65.06,74677.0,112.0,838.0,25.0,10539.309352517987,411235179.8243629,536.0,779.0,1428.0,6173.0,8916.0,1.0,0.0,0.0
KARNATAKA,2006,57656060,1627,1484,68,400,0,400,563,328,235,202,247,1349,5967,14901,5759,9142,6183,471,2910,139,268,19488,244,1683,38,2129,0,534,56815,1730,214,4822,117710,73.51,191791.0,276.0,487.0,9.0,35115.30935251799,880770036.7003632,202.0,1349.0,5967.0,14901.0,22419.0,0.0,0.0,0.0
KERALA,2006,33032295,393,347,87,601,0,601,294,202,92,129,125,691,4245,5431,2014,3417,6365,299,3316,68,435,19105,25,2543,222,3708,0,49,56777,364,75,7301,105255,91.86,38852.0,553.0,402.0,1.0,-14036.690647482013,-52250252.00770995,129.0,691.0,4245.0,5431.0,10496.0,1.0,0.0,0.0
MADHYA PRADESH,2006,65406766,2309,2370,138,2900,0,2900,808,617,191,151,121,1770,10960,21733,7552,14181,2308,519,1522,38,815,34709,764,6243,762,2989,0,4823,95959,4214,1498,14275,194711,67.39,308245.0,3939.0,5936.0,30.0,18731.309352517987,1210029070.42448,151.0,1770.0,10960.0,21733.0,34614.0,0.0,0.0,0.0
MAHARASHTRA,2006,104542388,2656,1680,100,1500,1,1499,1261,921,340,663,323,2574,15877,46473,12741,33732,7453,1726,6234,317,1188,29407,387,3479,984,6738,1,10933,49834,1053,267,14010,191788,80.89,307713.0,2841.0,5965.0,99.0,-30420.690647482013,2084972730.9160843,663.0,2574.0,15877.0,46473.0,65587.0,5.0,3.0,0.0
MANIPUR,2006,2544899,205,265,4,40,0,40,130,79,51,2,27,8,55,290,105,185,60,40,82,9,109,296,0,42,0,10,0,3,1207,0,26,171,2884,77.96,22327.0,54.0,0.0,7.0,-8148.690647482013,-148923390.17456803,2.0,8.0,55.0,290.0,355.0,0.0,0.0,0.0
MEGHALAYA,2006,2506380,157,42,8,74,0,74,57,25,32,57,4,65,140,470,135,335,7,16,83,7,28,138,6,57,0,13,0,68,438,0,0,175,1935,68.51,22429.0,71.0,58.0,0.0,4907.309352517987,-19044666.406026,57.0,65.0,140.0,470.0,732.0,0.0,0.0,0.0
MIZORAM,2006,937057,25,19,7,72,0,72,6,1,5,7,0,10,422,758,60,698,0,30,78,10,25,72,0,51,0,1,0,26,454,0,0,125,2073,88.49,21081.0,35.0,83.0,1.0,-19156.690647482013,-222995750.7684354,7.0,10.0,422.0,758.0,1197.0,0.0,0.0,0.0
NAGALAND,2006,2153336,123,46,8,23,0,23,31,3,28,16,0,84,70,327,113,214,7,18,37,10,16,50,0,3,2,3,0,28,201,5,109,34,1103,69.17,16579.0,14.0,3.0,0.0,2603.3093525179866,-36777617.0775901,16.0,84.0,70.0,327.0,497.0,0.0,0.0,0.0
ODISHA,2006,40198878,1159,752,36,985,0,985,704,577,127,239,76,1184,3120,6567,1571,4996,1535,313,1364,16,371,6226,457,2415,247,694,12,2945,21375,1153,349,5387,52792,72.58,155707.0,154.0,581.0,12.0,26923.309352517987,502865460.5502981,239.0,1184.0,3120.0,6567.0,11110.0,0.0,0.0,0.0
PUNJAB,2006,26123740,817,898,165,442,0,442,591,418,173,35,90,142,2277,3946,1561,2385,3,281,3393,66,68,5104,130,314,60,801,2,2919,9524,184,0,2167,32068,74.48,50362.0,329.0,116.0,99.0,-5844.690647482013,-52685516.45862275,35.0,142.0,2277.0,3946.0,6400.0,3.223608293813926,4.958200338450491,2.6604583674924127
RAJASTHAN,2006,60567273,1209,1694,79,1085,0,1085,1970,1553,417,37,97,631,5085,17889,7276,10613,1767,694,10191,56,551,21296,394,2582,31,7038,3,6234,61379,3910,967,12686,141992,63.56,342239.0,951.0,1908.0,42.0,67883.30935251799,1361122310.674213,37.0,631.0,5085.0,17889.0,23642.0,8.873169375685176,3.658392795803693,0.5322701287846492
SIKKIM,2006,584845,21,16,2,20,0,20,8,7,1,0,0,9,84,113,8,105,12,10,37,1,1,96,0,14,0,6,0,39,214,2,0,47,703,73.14,7096.0,35.0,35.0,1.0,683.3093525179866,-68250882.5345646,0.0,9.0,84.0,113.0,206.0,2.9841199447354088,0.0044714231944738,0.24984568237175875
TAMIL NADU,2006,67970422,1363,1599,20,457,0,457,906,718,188,95,4,450,3300,13651,2877,10774,1838,194,2116,63,460,14067,187,1179,852,1248,0,10792,94131,991,24,4641,148972,78.86,130060.0,353.0,743.0,45.0,2347.3093525179866,594544130.4771781,95.0,450.0,3300.0,13651.0,17496.0,0.0,0.0,0.0
TRIPURA,2006,3412297,154,52,1,189,0,189,105,62,43,18,1,71,182,392,31,361,154,23,84,12,35,464,35,207,0,471,0,199,1091,14,9,964,3940,80.66,10486.0,41.0,0.0,11.0,-7892.690647482013,-134644341.2251745,18.0,71.0,182.0,392.0,663.0,2.8517313220173994,0.23982018403080563,0.6633726596751881
UTTAR PRADESH,2006,183111377,5480,4997,1543,1314,0,1314,3318,2551,767,218,86,2024,4577,20447,9621,10826,3774,2509,5142,278,299,10412,1798,2096,2714,5204,0,7235,41536,4960,11,15677,127001,66.86,240928.0,1767.0,153.0,123.0,18731.309352517987,937258446.6338574,218.0,2024.0,4577.0,20447.0,27266.0,0.0,0.0,0.0
UTTARAKHAND,2006,8939553,274,215,40,147,0,147,212,183,29,31,2,157,470,1696,525,1171,489,95,514,14,39,854,80,153,113,358,0,524,1935,68,1,1034,8412,74.92,53566.0,51.0,101.0,6.0,6443.309352517987,56274306.70672795,31.0,157.0,470.0,1696.0,2354.0,3.6772765632091016,0.5367179139180891,0.2954438271527464
WEST BENGAL,2006,85381521,1425,672,401,1731,0,1731,1355,1199,156,177,1263,426,601,12532,2714,9818,2385,519,1947,135,111,6299,445,1837,63,7414,1,3039,23274,13,7,12690,68052,71.54,88752.0,432.0,112.0,25.0,-5844.690647482013,498474677.62439334,177.0,426.0,601.0,12532.0,13736.0,1.0,1.0,0.0
A & N ISLANDS,2006,438982,4,4,1,6,0,6,5,5,0,0,0,5,82,101,6,95,10,3,15,4,9,78,0,14,4,7,0,2,322,0,17,36,676,81.92,8249.0,9.0,1872.1429393239173,0.0,-20820.690647482013,2364370.93015188,0.0,5.0,82.0,101.0,188.0,2.4725892295431744,13.611434300214569,6.61434170564381
CHANDIGARH,2006,1007778,12,21,8,19,0,19,65,57,8,1,3,34,189,1234,529,705,44,59,232,3,5,55,10,20,13,102,0,14,983,2,0,221,3126,83.07,114.0,64.0,104.0,2.0,-20180.690647482013,-184235565.4925781,1.0,34.0,189.0,1234.0,1458.0,0.0,0.0,0.0
D & N HAVELI,2006,237726,9,0,1,6,0,6,18,14,4,5,0,5,41,61,13,48,8,30,10,1,5,35,1,5,1,5,0,16,172,2,1,32,435,70.13,491.0,15.0,9.0,0.0,2539.3093525179866,-52353839.82858417,5.0,5.0,41.0,61.0,112.0,2.862602513062989,0.1018879108620716,0.1459293851667316
DAMAN & DIU,2006,172822,6,3,0,3,0,3,3,1,2,8,0,1,60,63,33,30,24,9,3,4,5,18,0,2,0,2,0,26,48,1,0,8,288,90.68,112.0,3.0,5.0,0.0,-20180.690647482013,-253210261.84360737,8.0,1.0,60.0,63.0,132.0,2.6216133658985843,-0.8962109641694287,0.5691514060358132
LAKSHADWEEP,2006,66390,0,2,0,0,0,0,0,0,0,0,0,0,2,17,1,16,12,0,0,0,4,5,0,0,0,1,0,0,37,0,0,1,80,87.79,32.0,0.0,0.0,0.0,-17172.690647482013,-226216597.07521075,0.0,0.0,2.0,17.0,19.0,2.6235623325312476,-0.7455622978212739,0.5102449679800087
PUDUCHERRY,2006,1050145,30,24,3,9,0,9,18,13,5,2,0,3,84,560,320,240,194,6,36,2,22,927,3,56,39,19,0,209,2441,14,0,139,4687,82.21,479.0,25.0,36.0,0.0,-11476.690647482013,-147985120.26260525,2.0,3.0,84.0,560.0,649.0,2.579551543978088,-0.467118294046176,0.3478409643013354
ANDHRA PRADESH,2007,85475214,2665,1885,135,1070,0,1070,2097,1564,533,170,6,614,7677,24391,6183,18208,1998,869,8103,224,1176,46122,613,4406,3316,11335,0,12629,43586,3383,753,22304,175087,69.97,275045.0,1499.0,1801.0,39.0,35115.30935251799,1237479901.4950328,170.0,614.0,7677.0,24391.0,32852.0,0.0,0.0,0.0
ARUNACHAL PRADESH,2007,1230150,68,29,2,48,0,48,68,44,24,16,0,75,240,513,116,397,16,41,33,10,22,375,0,72,1,20,0,82,555,0,32,185,2286,69.96,83743.0,4.0,105.0,0.0,15659.309352517987,69601722.62722322,16.0,75.0,240.0,513.0,844.0,0.0,0.0,0.0
ASSAM,2007,28771642,1374,451,109,1437,0,1437,1971,1471,500,299,12,496,2603,7754,1982,5772,2601,653,895,115,380,5175,100,789,10,3000,0,2875,12183,126,49,6807,45282,83.24,78438.0,167.0,1155.0,31.0,-14036.690647482013,246919503.90354854,299.0,496.0,2603.0,7754.0,11152.0,5.0,0.0,0.0
BIHAR,2007,90234986,3034,3113,257,1555,0,1555,2530,1260,1270,686,78,1787,3259,11795,2392,9403,7962,1326,2358,79,865,16288,1172,853,12,1635,56,3789,44931,2786,65,6543,109420,63.0,94163.0,675.0,1396.0,27.0,18731.309352517987,820570670.4652315,686.0,1787.0,3259.0,11795.0,17527.0,2.0,0.0,0.0
CHHATTISGARH,2007,22677703,1097,747,26,982,0,982,244,181,63,115,13,427,3632,5381,1814,3567,881,150,467,64,253,6801,100,1549,111,824,0,2476,19505,511,615,3747,45845,75.19,135191.0,1024.0,1576.0,80.0,2347.3093525179866,151683538.51154244,115.0,427.0,3632.0,5381.0,9555.0,0.0,0.0,0.0
GOA,2007,1495234,33,23,7,20,0,20,12,7,5,7,0,22,292,494,207,287,70,36,55,10,24,150,2,20,7,14,0,247,934,0,0,70,2479,83.73,3702.0,70.0,76.0,0.0,-16596.690647482013,-205793030.20962292,7.0,22.0,292.0,494.0,815.0,1.0,0.0,0.0
GUJARAT,2007,54495413,1166,494,21,316,0,316,1312,1089,223,245,10,1095,4870,18164,8022,10142,1668,1139,1116,286,330,10989,42,822,120,5827,0,4831,68332,1040,156,8216,123195,80.09,196024.0,1110.0,2276.0,47.0,-14036.690647482013,791891092.8277035,245.0,1095.0,4870.0,18164.0,24374.0,21.0,20.0,0.0
HARYANA,2007,23693466,911,592,72,488,0,488,801,554,247,139,266,502,4231,11047,6499,4548,1173,726,1232,33,142,5031,269,417,409,2412,0,1545,19159,227,0,4549,51597,73.29,44212.0,325.0,1457.0,36.0,-5844.690647482013,473389375.2834747,139.0,502.0,4231.0,11047.0,15919.0,0.0,0.0,0.0
HIMACHAL PRADESH,2007,6704121,127,57,9,159,0,159,171,150,21,5,0,23,877,1092,264,828,649,132,212,11,141,1318,8,322,33,342,0,597,7937,91,2,1014,14222,79.87,55673.0,151.0,145.0,7.0,-1748.6906474820134,-89496090.85188179,5.0,23.0,877.0,1092.0,1997.0,0.0,0.0,0.0
JAMMU & KASHMIR,2007,10945518,318,669,23,288,0,288,758,707,51,18,0,111,1460,2086,514,1572,1209,121,489,31,186,374,9,986,353,176,0,243,11535,1,0,2519,21443,64.42,222236.0,26.0,15.0,27.0,49451.30935251799,332503034.5841371,18.0,111.0,1460.0,2086.0,3675.0,6.0,7.0,0.0
JHARKHAND,2007,29405081,1617,1076,92,855,0,855,762,534,228,524,40,771,1495,7091,1784,5307,2565,448,814,19,160,3783,303,342,15,801,0,1019,13897,538,268,2850,38489,67.36,74677.0,74.0,467.0,12.0,10539.309352517987,412877533.13252395,524.0,771.0,1495.0,7091.0,9881.0,3.585475566097063,1.650757407299829,0.33057034482069003
