STATE/UT,YEAR,POPULATION,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,Crimes Against Women,TOTAL IPC CRIMES,LITERACY RATE_ITER,AREA (in sq. km)_ITER,CRIMES AGAINST CHILDREN_ITER,JUVENILES APPREHENDED_ITER,POLICEMEN KILLED_ITER,THEFT CASES REPOERTED_ITER,THEFT VALUE TOTAL_ITER,TOTAL  Dacoity_ITER,TOTAL  Robbery_ITER,TOTAL  Burglary_ITER,TOTAL  Theft_ITER,Total Petty Crime_ITER,Human Rights Violation Cases_ITER,Policemen Chargesheeted_ITER,Polimen Charged_ITER
CHANDIGARH,2001,900635,15,10,6,18,0,18,56,50,6,5,0,22,364,1529,494,1035,91,26,155,2,5,95,3,24,15,36,0,6,914,3,0,146,3397,81.94,114.0,39.502009793774675,66.0,3.0,1920.0,47992609.0,5.0,22.0,364.0,1529.0,1920.0,1.0,0.0,0.0
D & N HAVELI,2001,220451,3,2,0,6,0,6,4,2,2,0,0,2,34,45,15,30,4,13,12,1,1,29,0,7,0,4,0,0,183,0,6,19,350,57.63,491.0,-40.809536621865405,2.0,0.0,81.0,3065362.0,0.0,2.0,34.0,45.0,81.0,2.2347962912740478,0.022117614249760997,-0.5258770838748856
DAMAN & DIU,2001,158204,7,5,0,0,0,0,5,3,2,0,0,0,43,40,20,20,23,5,9,1,3,21,0,0,0,4,0,0,73,0,0,7,239,78.18,112.0,-43.154204492932124,2.0,0.0,83.0,3707732.0,0.0,0.0,43.0,40.0,83.0,2.22930839864244,-0.606904646164506,0.14699315930696333
LAKSHADWEEP,2001,60650,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,10,1,1,0,0,2,3,0,0,0,0,0,0,17,0,0,0,36,86.66,32.0,-45.64624191893826,1.0,0.0,11.0,105790.0,0.0,0.0,1.0,10.0,11.0,2.2224704629286545,-0.8944010918234317,0.433313074386664
PUDUCHERRY,2001,974345,25,32,1,9,0,9,4,3,1,1,0,4,111,528,284,244,100,5,23,3,31,635,1,35,27,3,0,166,2324,13,0,78,4068,81.24,479.0,-20.214835099348008,3.0,0.0,644.0,10234351.0,1.0,4.0,111.0,528.0,644.0,2.155910080195027,-0.7037322754323334,0.18878243650378757
ANDHRA PRADESH,2002,77722774,2525,1644,165,1002,0,1002,1302,854,448,197,3,648,7628,19222,3544,15678,2140,1050,6733,155,991,39839,449,3799,2024,7018,0,8691,36385,3385,525,15146,143610,62.66,275045.0,1209.7462868979655,1466.0,55.0,27695.0,462165830.0,197.0,648.0,7628.0,19222.0,27695.0,26.0,14.0,0.0
ARUNACHAL PRADESH,2002,1119093,61,38,6,38,0,38,57,38,19,22,0,96,249,395,51,344,21,23,29,5,20,401,0,68,2,13,0,0,684,0,87,159,2228,56.94,83743.0,14.507338812443486,132.0,0.0,762.0,30808825.0,22.0,96.0,249.0,395.0,762.0,4.141890182264431,0.44474749655849566,-0.39601697737984676
ASSAM,2002,27000659,1253,479,55,970,0,970,1595,1276,319,473,18,607,2504,5555,496,5059,3014,558,719,57,438,4764,70,984,7,1694,0,1957,8575,47,39,5001,36346,66.59,78438.0,-26.01421977203313,332.0,18.0,9139.0,115251845.0,473.0,607.0,2504.0,5555.0,9139.0,3.0,2.0,0.0
BIHAR,2002,84184099,3712,3526,396,1040,0,1040,2361,744,1617,1289,141,2288,3188,10145,1131,9014,8675,1215,1811,72,600,8770,927,621,6,1577,38,2497,39145,1579,29,4953,94040,49.66,94163.0,-9.595389008656184,653.0,17.0,16910.0,229031128.0,1289.0,2288.0,3188.0,10145.0,16910.0,0.0,0.0,0.0
CHHATTISGARH,2002,21045463,844,453,24,992,0,992,178,154,24,144,6,326,3731,4302,889,3413,817,96,393,18,235,4484,85,1483,147,653,0,963,17576,443,508,3514,37950,66.41,135191.0,353.8555056900266,1257.0,15.0,35115.30935251799,403071707.3605077,144.0,326.0,3731.0,4302.0,8503.0,5.0,3.0,0.0
